a-k-w-e-u-s   aqueous
a-l           ail, Alabama (Cen.), ale, allow, I will
a-l-a         Alabama, alike
a-l-a-b-a-s   alabaster
a-l-a-m       alarm
a-l-a-n       align
a-l-a-n-th-u-s  ailanthus
a-l-a-s-k     Alaska
a-l-a-v       alive
a-l-b         Alberta, allowable, I will be
a-l-b-i       alibi
a-l-e-k-w-o-t  aliquot
a-l-e-mn-e    alimony
a-l-e-n       alien
a-l-e-t       alliterate, elite
a-l-e-t-sh    alliteration
a-l-i         alight
a-l-i-n-s     alliance
a-l-j         algebra, Algeria
a-l-k-a-l-o-e  alkaloid
a-l-k-o-l     alcohol
a-l-m         alum
a-l-m-n-i     alumni
a-l-ng        along
a-l-n-s       allowance
a-l-o-k       allocate
a-l-o-n       alone
a-l-o-p-th-e  allopathy
a-l-r         allure
a-l-s         I always
a-l-s (s1)    allow us
a-l-sh        allusion
a-l-t-e-t     altitude
a-l-u-mn      aluminum
a-m           aim, America, I am
a-m (a2)      arm
a-m/nt        amenity
a-m-a-l       amalgam, amalgamate
a-m-a-m (a2, a1)  armament
a-m-a-s-m     amazement
a-m-a-t-r-e   amatory
a-m-b         ambition, amiable
a-m-b-a-s     ambassador
a-m-b-e-nt    ambient
a-m-b-e-sh    ambitious
a-m-b-g       ambiguous
a-m-b-l       amble
a-m-ch-a (a2, a2)  armchair
a-m-e (a2)    army
a-m-e-d/sh-s  amidships
a-m-e-l-r-a   ameliorate
a-m-e-r-a-sh  admiration
a-m-e-r-b     admirable
a-m-e-r-l     admiral
a-m-e-t       admit
a-m-e-td      admitted
a-m-e-x-t-r   admixture
a-m-f-e-b-n   amphibian
a-mn          amen, amend, amendment (Expert)
a-m-n         American, I am not
a-mn-b        amenable
a-mn-d        almond
a-mn-e        amount of money (Expert)
a-mn-ea-n (a2)  Armenian
a-mn-e-s      administer
a-mn-e-s/v    administrative
a-mn-e-s-sh   administration
a-mn-m        amendment
a-mn-r        administrator (Expert)
a-mn-t        amount (Simp.)
a-mn-u-n-ss   amanuensis
a-m-o-p-n     I am of the opinion
a-m-o-t-i-s   amortize
a-m-p         ample
a-m-p-e-p     American people (Expert)
a-m-p-f-r     amplifier
a-m-p-t-u     amplitude
a-m-p-u-sh    amputation
a-m-p-u-t     amputate
a-m-s         alms
a-m-sh        admission, Amish, I am sure
a-m-s-mn-e    amounts of money (Expert)
a-m-s-o (s2)  I am sorry
a-m-s-s-a     I must say
a-m-s-t-e-tm (s1)  Amsterdam
a-m-t         amount
a-m-td        amounted
a-m-th-e-s    amethyst
a-m-u-s       amuse
a-m-u-s-m     amusement
a-n (a2)      wherein
a-n-a-l-g     analogous
a-n-a-l-ss    analysis
a-n-e-l-e-n   aniline
a-n-e-m       animal
a-n-e-m/s     animosity
a-n-e-m-a-v-e-r-sh  animadversion
a-n-e-v       anniversary
a-ng-l        angle
a-ng-n-w-e    ennui
a-ng-r-e      angry
a-ng-s-a-s    Anglo-Saxon
a-ng-sh       anguish
a-ng-s-i      anxiety
a-nk          anxious
a-nk-e        anxiously
a-nk-l        ankle
a-n-k-o-r     encore
a-n-l         annual
a-n-l-e-s     analyst (Simp.), annalist
a-n-l-s       annals, annuals
a-n-l-ss      analysis (Simp.)
a-nm-sh       admonish, admonition
a-n-n-s       announce
a-n-n-s-m     announcement
a-n-n-s-t     announced
a-n-o-e-n-s   annoyance
a-n-o-m       anomalous
a-n-o-n       anonymous
a-n-o-n/mt    anonymity
a-n-s         announce (DJS Expert), answer
a-n-sh-t      ancient
a-nt          ain't, ant, aunt, I want
a-nt-e-r-p    Antwerp
a-n-th-p/o (o on side)  anthropology
a-n-th-p-o-e  anthropoid
a-n-th-s-i    anthracite
