"word","formal","lazy","keyer","usage","hint"
"thing","th-\-h","hg","","212",""
"both","b-o-th","boh","","213",""
"told","t-o","tou","u","214",""
"let","l-e","le","","215",""
"look","l-u","lu","","216",""
"night","n-i","nio","o","217",""
"heard","^-h-\-e2-d","hedo","o","219",""
"mind","m-i-n","min","","220",""
"knew","n-u","nuo","o","221",""
"heart","^-h-\-a2-t","hato","o","222",""
"seen","s2-e-n","sen","","223",""
"days","d-a-s","das","","224",""
"name","n-a","nao","o","225",""
"among","m-ng","mg","","226",""
"better","b-t-e2","bte","","227",""
"full","f-u","fuo","o","228",""
"something","s2-m-\-h","smg","","229",""
"moment","m-o-m","mom","","230",""
"gave","g-a","ga","","231",""
"country","k-t","kt","","232",""
"almost","o-m-o","omo","","234",""
"soon","s2-n","snu","u","236",""
"course","k-r-s","krs","","237",""
"cannot","k-n","kn","","238",""
"asked","s2-k-t","skt","","239",""
"small","s2-m-o","smo","","240",""
"enough","n-u-f","nuf","","241",""
"want","o-nt","ont","","242",""
"side","s-i","sio","o","243",""
"woman","u-mn","umm","","244",""
"however","a-u-v","wv","","245",""
"home","^-h-\-o-m","hom","","246",""
"brought","br-o-t","brot","","247",""
"whose","^-h-\-u-s","huso","o","248",""
"nor","n-o-r","noro","o","249",""
"father","f-a-th","fah","","250",""
"quite","k-a-t","qat","","251",""
"words","u-d-s","uds","","252",""
"given","g-e","geo","o","253",""
"till","t-e","teu","u","254",""
"taken","t-a-k-n","takn","","256",""
"use","e-u","ui","i","257",""
"hands","^-h-\-nt-s","hnts","","258",""
"does","d-u-s","dus","","259",""
"until","nt-e","nte","","260",""
"end","nt","nto","o","261",""
"turned","t-e-n-/-t","tent","","262",""
"rather","r-a-th","rah","","263",""
"best","b-e-s","bes","","265",""
"since","s2-e-n-s","sens","","266",""
"felt","f-e-l-t","felto","o","267",""
"word","u-d","ud","","268",""
"lord","l-o-d","lod","","269",""
"light","l-i","li","","271",""
"oh","o","oi","i","272",""
"next","n-e-s","nes","","273",""
"began","b-g-a-n","bgan","","274",""
"less","l-e-s","les","","275",""
"present","pr","pr","","276",""
"large","l-a-j","laj","","277",""
"water","u-o-t-e2","uote","","278",""
"den","d-e-n","deno","o","279",""
"within","e-th-e-n","ehen","","280",""
"door","d-o-r","dor","","281",""
"poor","p-u","pu","","282",""
"certain","s2-e-tn","setn","","283",""
"sent","s2-e-nt","sento","o","286",""
"often","o-f-n","ofn","","287",""
"stood","s2-t-u","stu","","288",""
"power","p-a-u","pw","","289",""
"room","r-m","rm","","290",""
"half","^-h-\-a-f","haf","","291",""
"public","p-b","pb","","292",""
"themselves","th-m-ss","hmss","","293",""
"morning","mn-\-h","mmg","","294",""
"sir","s2","sw","w","295",""
"myself","m-as2","mas","","296",""
"keep","k-p","kp","","297",""
"money","mn-e","mmeo","o","298",""
"mother","m-u-th","muh","","299",""
"hundred","^-h-\-u-nt","hunt","","302",""
"kind","k-i","ki","","303",""
"order","o-d","od","","304",""
"war","u-o","uoo","o","305",""
"means","m-e-n-s","mens","","306",""
"form","f-m","fmo","o","307",""
"round","r-nt","rnt","","309",""
"received","r-s-e-/-t","rset","","310",""
"voice","v-o-e-s","vys","","311",""
"believe","b-e","beo","o","312",""
"white","^-h-\-u-i-t","huit","","313",""
"miss","m-e-s","mes","","314",""
"anything","n-e-\-h","neg","","315",""
"near","n-e2","neo","o","316",""
"others","u-th-s","uhs","","317",""
"thus","th-u-s","husu","u","318",""
"passed","p-a-s2-t","pasto","o","319",""
"matter","m-a-t","mato","o","320",""
"year","e-r","eru","u","322",""
"read","r-e-d","redo","o","323",""
"true","t-r-u","tru","","324",""
"point","o-e","y","","325",""
"herself","e-r-s","erso","o","326",""
"friend","fr","fr","","327",""
"state","s2-t","sto","o","328",""
"person","pr-s","prs","","329",""
"wife","i-f","ifo","o","330",""
"already","o-r-e","ore","","331",""
"above","a-b-v","abv","","332",""
"high","^-h-\-i","hio","o","333",""
"met","m-e-t","meto","o","334",""
"says","s2s","ss","","335",""
"together","t-u-g","tug","","336",""
"why","i","io","o","337",""
"perhaps","pr-a-p-s","praps","","338",""
"death","d-e-th","deh","","339",""
"dear","d-e2","de","","340",""
"fact","f-a-k","fak","","341",""
"least","l-e-s2-t","lest","","342",""
"case","k-a-s","kas","","343",""
"hear","^-h-\-e-r","heru","u","344",""
"known","n-o-n","nono","o","345",""
"English","e-ng-sh","engz","","346",""
"hope","^-h-\-o-p","hop","","348",""
"along","a-l-ng","alg","","349",""
