"word","lazy","hint","formal","usage","keyer"
"adumbration","","","a-tm-b-r-a-sh","",""
"advance","","","v-a-n-s","",""
"advantage","","","a-v","",""
"advantageous","","","a-v-u-s","",""
"adventitious","","","a-v-nt-e-sh","",""
"adventure","","","a-v-nt-r","",""
"adverbial","","","a-v-e-r-b-l","",""
"adverse","","","a-v-e-s","",""
"advert","","","a-v-e-t","",""
"advertise","","","a-v-t","",""
"advertisement","","","a-v-t-m","",""
"advertising agent","","","a-v-t-/-a","",""
"advice","","","v-i-s","",""
"advisable","","","v-i-s-b","",""
"advise","","","v-i-s","",""
"advised","","","v-i-s-d","",""
"advocate","","","a-v-k-a-t","",""
"adz","","","a-d-s","",""
"aerate","","","a-r-a-t","",""
"aerial","","","a-r-l","",""
"aesthetic","","","e-s-th-/-a","",""
"affable","","","a-f-b","",""
"affair","","","a-f-a-r","",""
"affairs","","","a-f-a-r-s","",""
"affect","","","a-f-k","",""
"affected","","","a-f-k-t","",""
"affection","","","a-f-k-sh","",""
"affectionate","","","a-f-k-sh-a-t","",""
"affectionately","","","a-f-k-sh-a-t-e","",""
"affiance","","","a-f-i-n-s","",""
"affidavit","","","a-f-df","",""
"affirm","","","a-f-e-m","",""
"afflict","","","a-f-l","",""
"afford","","","a-f-d","",""
"affright","","","a-f-r-i","",""
"Afghanistan","","","a-f-g-a-n","",""
"aforementioned","","","a-f-mn-sh-d","",""
"aforesaid","","","a-f-s-e-d","",""
"afraid","","","f-r-a","",""
"Africa","","","a-f-r","",""
"after","","","a-f","",""
"after-dinner","","","a-f-tn-r","",""
"afternoon","","","a-f-n-u-n","",""
"afterwards","","","a-f-d-s","",""
"again","","","a-g-n","",""
"against","","","a-g-n-s","",""
"against ","","","a-g","",""
"age","","","a-j","",""
"ageless","","","a-j-l","",""
"agency","","","a-j-s-e","",""
"agent","","","a-j","",""
"ages","","","a-j-s","",""
"agglomeration","","","a-g-l-o-m-sh","",""
"aggr-","","","ya-/","",""
"aggrandize","","","ya-/-d-i-s","",""
"aggregate","","","ya-/-g","",""
"aggress","","","ya-/-s","",""
"aggression","","","ya-/-sh","",""
"aggrieved","","","ya-/-v-d","",""
"agile","","","a-j-l","",""
"agitate","","","a-j-t-a","",""
"agnostic","","","a-g-n-/-s-t","",""
"agnosticism","","","a-g-n-o-s-t-ss","",""
"ago","","","a-g","",""
"agree","","","^-ya","",""
"agreeable","","","^-yab","",""
"agreement","","","^-ya-m","",""
"agricultural","","","ya-/-k-l","",""
"agriculture","","","^-ya","",""
"aground","","","a-g-r-nt","",""
"Aguascalientes","","","a-g-a-s-k-l","",""
"ague","","","a-g-e-u","",""
"ah","","","a","",""
"ahead","","","^-h-\-^-h-\-e-d","",""
"aid","","","a-d","",""
"aidsabo","","","a-d-s","",""
"ail","","","a-l","",""
"ailanthus","","","a-l-a-n-th-u-s","",""
"aim","","","a-m","",""
"ain't","","","a-nt","",""
"air","","","a-r","",""
"air-tight","","","a2-t-i-t","",""
"aisle","","","i-l","",""
"Akron","","","a-k-r-n","",""
"Alabama","","","a-l-a","",""
"Alabama ","","","a-l","",""
"alabaster","","","a-l-a-b-a-s","",""
