"word","formal","lazy","keyer","usage","hint"
"hired","^-h-\-i-r-/-t","hirt","","4928","hired = hirt (^-h-\-i-r-/-t) [1]"
"adapted","a-d-a-p-/-t","adapto","o","4930","adapted = adapto (a-d-a-p-/-t) [1]"
"clergy","k-l-e-j-e","kleje","","4931","clergy = kleje (k-l-e-j-e) [1]"
"appropriate","a-p-r-a","apra","","4938","appropriate = apra (a-p-r-a) [7]"
"filed","f-i-ld","fild","","4941","filed = fild (f-i-ld) [1]"
"channel","ch-a-n-l","canl","","4943","channel = canl (ch-a-n-l) [3]"
"engine","n-j-n","njn","","4945","engine = njn (n-j-n) [3]"
"landlord","l-a-nt-l-o-d","lantlod","","4946","landlord = lantlod (l-a-nt-l-o-d) [1]"
"extra","^-e-s","esi","i","4947","extra = esi (^-e-s) [2]"
"egg","e-g","egu","u","4950","egg = egu (e-g) [0]"
"prejudice","p-r-e-j","prej","","4954","prejudice = prej (p-r-e-j) [5]"
"thread","th-r-e-d","hred","","4956","thread = hred (th-r-e-d) [2]"
"tight","t-i-t","tito","o","4957","tight = tito (t-i-t) [1]"
"blank","b-l-a-nk","blanko","o","4963","blank = blanko (b-l-a-nk) [-1]"
"costume","k-o-s-tm","kostm","","4969","costume = kostm (k-o-s-tm) [2]"
"excess","e-s-e-s","eseso","o","4971","excess = eseso (e-s-e-s) [1]"
"rice","r-i-s","risi","i","4972","rice = risi (r-i-s) [0]"
"specially","s-p-e","spe","","4973","specially = spe (s-p-e) [6]"
"lent","l-e-nt","lente","e","4983","lent = lente (l-e-nt) [-1]"
"admiral","a-m-e-r-l","amerl","","4985","admiral = amerl (a-m-e-r-l) [2]"
"fur","f-u-r","furo","o","4986","fur = furo (f-u-r) [-1]"
"adds","a-d-s","ads","","4987","adds = ads (a-d-s) [1]"
"lip","l-e-p","lep","","4989","lip = lep (l-e-p) [0]"
"crowned","k-r-nt","krnt","","4992","crowned = krnt (k-r-nt) [3]"
"innumerable","e-n-e-u-m-b","enumb","","4993","innumerable = enumb (e-n-e-u-m-b) [6]"
"latest","l-a-t-e-s","lates","","4994","latest = lates (l-a-t-e-s) [1]"
"convent","k-v-nt","kvnt","","4996","convent = kvnt (k-v-nt) [3]"
"sermon","s2-e2-mn","semn","","4997","sermon = semn (s2-e2-mn) [2]"
"fairy","f-a-r-e","fareu","u","5004","fairy = fareu (f-a-r-e) [0]"
"collect","k-o-l","kolo","o","5006","collect = kolo (k-o-l) [3]"
"smart","s-m-a2-t","smat","","5009","smart = smat (s-m-a2-t) [1]"
"frankly","f-r-a-nk-e","franke","","5010","frankly = franke (f-r-a-nk-e) [1]"
"dumb","d-m","dm","","5012","dumb = dm (d-m) [2]"
"recommend","r-k-mn","rkmn","","5015","recommend = rkmn (r-k-mn) [5]"
"appreciate","a-p-r-e-sh","aprez","","5017","appreciate = aprez (a-p-r-e-sh) [5]"
"frontier","f-r-nt-e-r","frnter","","5020","frontier = frnter (f-r-nt-e-r) [2]"
"insist","n-ss","nssu","u","5023","insist = nssu (n-ss) [2]"
"inspiration","n-s-p-r-a-sh","nspraz","","5026","inspiration = nspraz (n-s-p-r-a-sh) [5]"
"legislation","l-j","lj","","5028","legislation = lj (l-j) [9]"
"mob","m-o-b","mobo","o","5029","mob = mobo (m-o-b) [-1]"
"velvet","v-e-l-v-t","velvt","","5030","velvet = velvt (v-e-l-v-t) [1]"
"upstairs","u-p-s2-t-ya","upstya","","5037","upstairs = upstya (u-p-s2-t-ya) [2]"
"duly","d-u-e","dueo","o","5039","duly = dueo (d-u-e) [0]"
"Cambridge","k-a-m-b","kamb","","5042","Cambridge = kamb (k-a-m-b) [5]"
"shirt","sh-e2-t","zeto","o","5044","shirt = zeto (sh-e2-t) [1]"
"elect","e-l-e-k","elek","","5045","elect = elek (e-l-e-k) [1]"
"bodily","b-o-e","byu","u","5047","bodily = byu (b-o-e) [3]"
"instructed","n-s-/-k-t","nskt","","5049","instructed = nskt (n-s-/-k-t) [6]"
"guilt","g-e-l-t","gelt","","5050","guilt = gelt (g-e-l-t) [1]"
"backward","b-a-k-d","bakd","","5052","backward = bakd (b-a-k-d) [4]"
"adopt","a-d-p","adp","","5053","adopt = adp (a-d-p) [2]"
"fund","f-nt","fnto","o","5059","fund = fnto (f-nt) [0]"
"teachers","t-e-ch-ye2","tecye","","5060","teachers = tecye (t-e-ch-ye2) [3]"
"Friday","f-r-i","fri","","5063","Friday = fri (f-r-i) [3]"
"Philadelphia","f-e-l-a","fela","","5064","Philadelphia = fela (f-e-l-a) [8]"
"raw","r-o","rou","u","5065","raw = rou (r-o) [0]"
"damp","d-a-m-p","dampo","o","5071","damp = dampo (d-a-m-p) [-1]"
"discuss","d-s-k","dsko","o","5075","discuss = dsko (d-s-k) [3]"
"deserved","d-s-e-v-d","dsevd","","5076","deserved = dsevd (d-s-e-v-d) [3]"
"foremost","f-m-o","fmoo","o","5080","foremost = fmoo (f-m-o) [4]"
"revenue","r-e-v-n-u","revnu","","5084","revenue = revnu (r-e-v-n-u) [2]"
"awkward","o-k-d","okd","","5085","awkward = okd (o-k-d) [4]"
"rue","r-u","ruo","o","5086","rue = ruo (r-u) [0]"
"unjust","n-j-u-s","njus","","5087","unjust = njus (n-j-u-s) [2]"
"superiority","s-/-r","sro","o","5088","superiority = sro (s-/-r) [8]"
"elaborate","e-l-a-b","elab","","5092","elaborate = elab (e-l-a-b) [5]"
"neighbors","n-a-b-r-s","nabrs","","5095","neighbors = nabrs (n-a-b-r-s) [4]"
"research","r-s2-e-ch","rsec","","5097","research = rsec (r-s2-e-ch) [4]"
"literally","l-e-t-l-e","letle","","5098","literally = letle (l-e-t-l-e) [4]"
"landscape","l-a-nt-s-k-p","lantskp","","5101","landscape = lantskp (l-a-nt-s-k-p) [2]"
"blown","b-l-o-n","blon","","5103","blown = blon (b-l-o-n) [1]"
"lecture","l-e-k-t-r","lektr","","5104","lecture = lektr (l-e-k-t-r) [2]"
"rejoice","r-j-o-e-s","rjys","","5105","rejoice = rjys (r-j-o-e-s) [3]"
"unnecessary","u-n-e-ss","uness","","5106","unnecessary = uness (u-n-e-ss) [6]"
"glasses","g-l-a-ss","glasso","o","5108","glasses = glasso (g-l-a-ss) [1]"
"appetite","a-p-t-i","apti","","5111","appetite = apti (a-p-t-i) [4]"
"dense","tn-s","tnso","o","5112","dense = tnso (tn-s) [1]"
"reflect","r-f-l","rfl","","5113","reflect = rfl (r-f-l) [4]"
"deceive","d-s-e","dse","","5114","deceive = dse (d-s-e) [4]"
"respective","r-e-s-/-v","resv","","5118","respective = resv (r-e-s-/-v) [6]"
"today","td-a","tdao","o","5122","today = tdao (td-a) [1]"
"jury","j-u","juo","o","5123","jury = juo (j-u) [1]"
"warrant","u-o-nt","uonto","o","5126","warrant = uonto (u-o-nt) [2]"
"frozen","f-r-o-s-n","frosn","","5132","frozen = frosn (f-r-o-s-n) [1]"
"compliment","k-p-l-e-m","kplem","","5134","compliment = kplem (k-p-l-e-m) [5]"
"magazine","m-a-g","mago","o","5136","magazine = mago (m-a-g) [4]"
"remind","r-e-m-i-n","remin","","5138","remind = remin (r-e-m-i-n) [1]"
"reform","r-f-m","rfm","","5139","reform = rfm (r-f-m) [3]"
"hereafter","^-h-\-e-r-a-f","heraf","","5140","hereafter = heraf (^-h-\-e-r-a-f) [4]"
"abuse","a-b-e-u","abuo","o","5143","abuse = abuo (a-b-e-u) [1]"
"meetings","m-e-t-/-s","mets","","5155","meetings = mets (m-e-t-/-s) [4]"
"manuscript","mn-u-s-k-r","mnuskr","","5157","manuscript = mnuskr (mn-u-s-k-r) [4]"
"lunch","l-n-ch","lnc","","5162","lunch = lnc (l-n-ch) [2]"
"ambitious","a-m-b-e-sh","ambez","","5164","ambitious = ambez (a-m-b-e-sh) [4]"
"worldly","u-u-e","uueo","o","5168","worldly = uueo (u-u-e) [3]"
"brains","b-r-a-n-s","brans","","5171","brains = brans (b-r-a-n-s) [1]"
"niece","n-e-s","nesi","i","5172","niece = nesi (n-e-s) [1]"
"timid","tm-e-d","tmed","","5175","timid = tmed (tm-e-d) [1]"
"planned","p-l-a-nt","plantu","u","5177","planned = plantu (p-l-a-nt) [1]"
"descend","d-s-e-n","dsen","","5180","descend = dsen (d-s-e-n) [3]"
"fortnight","f-t-n-i","ftni","","5182","fortnight = ftni (f-t-n-i) [5]"
"document","d-o-k-m","dokm","","5186","document = dokm (d-o-k-m) [4]"
"recollect","r-e-k-o-l","rekol","","5188","recollect = rekol (r-e-k-o-l) [4]"
"tend","tn-d","tnd","","5190","tend = tnd (tn-d) [1]"
"manly","m-a-n-e","maneu","u","5193","manly = maneu (m-a-n-e) [0]"
"promotion","p-r-m-o-sh","prmoz","","5194","promotion = prmoz (p-r-m-o-sh) [4]"
