word,form,qwerd,keyer,chord,usage
Actuate,a-k-t-e-u-t,Aktut,,qaktu,0
Accustomed,a-k-u-s-/-t,Akusd,,qadksu,0
Alabaster,a-l-a-b-a-s,Alabas,,qabls,0
Alarm,a-l-a-m,Alam,,qalm,0
Ailanthus,a-l-a-n-th-u-s,Alanhus,,qahlnsu,0
Alaska,a-l-a-s2-k,Alask,,qakls,0
I will be,a-l-b,Albi,i,qabil,0
Alibi,a-l-b-i,Albio,o,qabilo,0
Alberta,a-l-b,Albo,o,qablo,0
Alimony,a-l-e-mn-e,Alemne,,qaelmn,0
Aliquot,a-l-e-k-w-o-t,Aleqot,,qaeloqt,0
Alliterate,a-l-e-t,Alet,,qaelt,0
Alliteration,a-l-e-t-sh,Aletz,,qaeltz,0
Alight,a-l-i,Alio,o,qailo,0
Algebra,a-l-j,Alj,,qajl,0
Algeria,a-l-j,Aljo,o,qajlo,0
Alkaloid,a-l-k-a-l-o-e,Alkaly,,qakly,0
Alcohol,a-l-k-o-l,Alkol,,qaklo,0
Alumni,a-l-m-n-i,Almni,,qailmn,0
Alum,a-l-m,Almo,o,qalmo,0
Antilogy,a-/-l-o-j,Aloj,,qajlo,0
Allopathy,a-l-o-p-th-e,Alophe,,qaehlop,0
Altitude,a-l-t-e-t,Altet,,qaelt,0
Aluminum,a-l-u-mn,Alumm,,qalmu,0
Amalgam,a-m-a-l,Amal,,qalm,0
Amalgamate,a-m-a-l,Amalo,o,qalmo,0
Armament,a2-m-a-m,Amam,,qam,0
Amatory,a-m-a-t-r-e,Amatre,,qaemrt,0
Ambassador,a-m-b-a-s,Ambas,,qabms,0
Ambient,a-m-b-e-nt,Ambent,,qabemnt,0
Ambitious,a-m-b-e-sh,Ambez,,qabemz,0
Ambiguous,a-m-b-g,Ambg,,qabgm,0
Amble,a-m-bl,Ambl,,qablm,0
Armchair,a2-m-ch-a2,Amca,,qacm,0
Amidships,a-m-e-d-/-sh-s,Amedzs,,qademsz,0
Ameliorate,a-m-e-l-r-a,Amelra,,qaelmr,0
Admirable,a-m-e-r-b,Amerb,,qabemr,0
Admiral,a-m-e-r-l,Amerl,,qaelmr,0
Admiration,a-m-e-r-a-sh,Amerz,,qaemrz,0
Admixture,a-m-e-x-t-r,Amextr,,qaemrtx,0
Amphibian,a-m-f-e-b-n,Amfebn,,qabefmn,0
Amethyst,a-m-th-e-s,Amhes,,qaehms,0
Amount of money,a-mn-e,Amme,,qaem,0
Antimony,a-/-mn-e,Amne,,qaemn,0
Armenian,a2-mn-ea2-n,Amnen,,qaemn,0
Administrative,a-mn-e-s-/-v,Amnesv,,qaemnsv,0
Amenity,a-m-/-nt,Amnto,o,qamnot,0
Amanuensis,a-mn-u-n-ss,Amnunss,,qamnsu,0
I am of the opinion,a-m-o-p-n,Amopn,,qamnop,0
Amortize,a-m-o-t-i-s,Amotis,,qaimost,0
American people,a-m-p-e-p,Ampep,,qaemp,0
Amplifier,a-m-p-fr,Ampfr,,qafmpr,0
Amplitude,a-m-p-t-u,Amptu,,qamptu,0
Amputate,a-m-p-u-t,Amput,,qamptu,0
Amputation,a-m-p-u-sh,Ampuz,,qampuz,0
Amounts of money,a-m-s2-mn-e,Amsmme,,qaems,0
I am sorry,a-m-s2-o,Amso,,qamos,0
I must say,a-m-s-s-a,Amssa,,qams,0
Amsterdam,a-m-s2-t-e-tm,Amstedm,,qademst,0
Amounted,a-m-td,Amtd,,qadmt,0
Antenna,a-/-n-a,Ana,,qan,0
Analogous,a-n-a-l-g,Analg,,qagln,0
Aniline,a-n-e-l-e-n,Anelen,,qaeln,0
Animadversion,a-n-e-m-a-v-e-r-sh,Anemaverz,,qaemnrvz,0
Ennui,a-ng-n-w-e,Angnwe,,qaegnw,0
Anthropology,a-n-th-p-/-o2,Anhpo,,qahnop,0
Anthropoid,a-n-th-p-o-e,Anhpy,,qahnpy,0
Anthracite,a-n-th-s-i,Anhsi,,qahins,0
Encore,a-n-k-o-r,Ankor,,qaknor,0
Annalist,a-n-l-e-s,Anles,,qaelns,0
Annals,a-n-l-s,Anls,,qalns,0
Annuals,a-n-l-s,Anlso,o,qalnos,0
Admonish,a-nm-sh,Anmz,,qamnz,0
Admonition,a-nm-sh,Anmzo,o,qamnoz,0
Wherein,a2-n,Ano,o,qano,0
Anomalous,a-n-o-m,Anom,,qamno,0
Anonymous,a-n-o-n,Anon,,qano,0
Anonymity,a-n-o-n-/-mt,Anonmt,,qamnot,0
